order-id	Ship Date	carrier-code
701-9007357-5628241	2016-07-06	DHL Global Mail
701-9616104-9018651	2016-07-06	DHL Global Mail
701-3180211-5067409	2016-07-06	DHL Global Mail
702-5213803-5851462	2016-07-06	DHL Global Mail
702-2536480-8110648	2016-07-06	DHL Global Mail
702-7668534-9322603	2016-07-06	DHL Global Mail
702-9464400-2418653	2016-07-06	DHL Global Mail
701-6241320-6132231	2016-07-06	DHL Global Mail
701-0054997-6700253	2016-07-06	DHL Global Mail
701-7682912-7259423	2016-07-06	DHL Global Mail
701-5588426-2673018	2016-07-06	DHL Global Mail
701-4421176-2289004	2016-07-06	DHL Global Mail
701-2495543-5441826	2016-07-06	DHL Global Mail
701-0184260-4765012	2016-07-06	DHL Global Mail
701-1589987-6006658	2016-07-06	DHL Global Mail
