order-id	Ship Date	Shipping Method
002-0352696-7693822	2016-05-09	USPS
106-2924146-3629814	2016-05-09	USPS
115-7409340-5845867	2016-05-09	USPS
111-7874017-8421814	2016-05-09	USPS
106-5264416-5063439	2016-05-09	USPS
109-8959579-6729815	2016-05-09	USPS
106-0824902-0909069	2016-05-09	USPS
115-7337341-3134652	2016-05-09	USPS
104-1890726-1103440	2016-05-09	USPS
112-1296256-6422641	2016-05-09	USPS
116-1930076-0541868	2016-05-09	USPS
103-6239487-8553001	2016-05-09	USPS
105-8387177-2669019	2016-05-09	USPS
107-5775728-5194644	2016-05-09	USPS
115-6420691-5379423	2016-05-09	USPS
109-9585854-6976231	2016-05-09	USPS
116-0638053-0629043	2016-05-09	USPS
114-9934053-4793047	2016-05-09	USPS
109-6447242-9731460	2016-05-09	USPS
114-3423881-5439425	2016-05-09	USPS
114-3187055-2727456	2016-05-09	USPS
103-8887855-8583449	2016-05-09	USPS
108-7111816-1812255	2016-05-09	USPS
113-7667220-8299412	2016-05-09	USPS
104-7630976-8217867	2016-05-09	USPS
108-5418082-1701859	2016-05-09	USPS
102-6619549-7543451	2016-05-09	USPS
103-5231385-8836261	2016-05-09	USPS
116-9554326-2585863	2016-05-09	USPS
108-4448317-1746661	2016-05-09	USPS
109-0367442-2541032	2016-05-09	USPS
113-3025162-3271429	2016-05-09	USPS
102-5348877-6298627	2016-05-09	USPS
702-1529973-7301856	2016-05-09	Canada post
702-8414310-7579413	2016-05-09	Canada post
702-6738310-9718619	2016-05-09	Canada post
702-1833186-5189828	2016-05-09	Canada post
